# trace records: appended=6864 stored=6864
# seq[0]=0
# seq[1]=4
# seq[2]=264
# seq[3]=34
# seq[4]=132
# seq[5]=260
# seq[6]=0
# seq[7]=1024
# seq[8]=1024
# seq[9]=4096
# seq[10]=32
# seq[11]=4
# seq[12]=0
# seq[13]=0
# seq[14]=0
# seq[15]=0
kind,bx,by,rank,warp,lane,smid,seq,t,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
2,26,0,0,4,0,42,92,1788983405571179744,0,0,1,1,0,0,0,0,0,0
2,28,0,0,4,0,44,89,1788983405571179744,0,0,1,1,0,0,0,0,0,0
2,10,0,0,4,0,10,88,1788983405571179744,0,0,1,1,0,0,0,0,0,0
2,52,1,2,4,0,114,181,1788983405571179712,0,2,1,1,0,0,0,0,0,0
2,52,1,2,0,0,114,180,1788983405571179712,0,2,1,0,0,0,0,0,0,0
2,49,1,3,0,0,111,145,1788983405571179744,0,3,0,0,0,0,0,0,0,0
2,53,1,3,0,0,115,182,1788983405571179744,0,3,0,0,0,0,0,0,0,0
2,26,0,0,0,0,42,93,1788983405571179776,0,0,1,0,0,0,0,0,0,0
2,53,1,3,4,0,115,183,1788983405571179744,0,3,0,1,0,0,0,0,0,0
2,12,0,0,4,0,12,100,1788983405571179776,0,0,1,1,0,0,0,0,0,0
4,1,0,1,2,0,1,12,1788983405571179744,64,64,0,16951296,4096,16778248,0,0,0,0
2,14,0,0,4,0,14,97,1788983405571179776,0,0,1,1,0,0,0,0,0,0
2,49,1,3,4,0,111,146,1788983405571179776,0,3,0,1,0,0,0,0,0,0
4,0,0,0,2,0,0,13,1788983405571179776,64,0,0,174080,4096,1032,0,0,0,0
2,42,0,0,0,0,76,80,1788983405571179776,0,0,1,0,0,0,0,0,0,0
2,42,0,0,4,0,76,101,1788983405571179776,0,0,1,1,0,0,0,0,0,0
2,44,0,0,0,0,78,78,1788983405571179776,0,0,1,0,0,0,0,0,0,0
2,4,0,0,4,0,4,147,1788983405571179776,0,0,1,1,0,0,0,0,0,0
2,48,0,0,4,0,96,144,1788983405571179776,0,0,1,1,0,0,0,0,0,0
2,43,0,1,0,0,77,99,1788983405571179808,0,1,0,0,0,0,0,0,0,0
2,45,0,1,0,0,79,94,1788983405571179808,0,1,0,0,0,0,0,0,0,0
4,1,1,3,2,0,17,14,1788983405571179776,64,192,0,50505728,4096,50332680,0,0,0,0
7,58,0,0,1,0,106,26,1788983405571179808,0,1,0,1232,29,0,0,0,0,0
2,5,0,1,0,0,5,150,1788983405571179808,0,1,0,0,0,0,0,0,0,0
4,0,1,2,2,0,16,15,1788983405571179776,64,128,0,33728512,4096,33555464,0,0,0,0
2,14,0,0,0,0,14,95,1788983405571179808,0,0,1,0,0,0,0,0,0,0
2,31,0,1,0,0,47,148,1788983405571179808,0,1,0,0,0,0,0,0,0,0
2,5,0,1,4,0,5,152,1788983405571179808,0,1,0,1,0,0,0,0,0,0
2,43,0,1,4,0,77,102,1788983405571179808,0,1,0,1,0,0,0,0,0,0
2,31,0,1,4,0,47,151,1788983405571179808,0,1,0,1,0,0,0,0,0,0
2,20,1,2,0,0,52,149,1788983405571179808,0,2,1,0,0,0,0,0,0,0
2,41,0,1,0,0,75,160,1788983405571179808,0,1,0,0,0,0,0,0,0,0
2,44,1,2,4,0,92,157,1788983405571179808,0,2,1,1,0,0,0,0,0,0
2,21,1,3,0,0,53,156,1788983405571179808,0,3,0,0,0,0,0,0,0,0
2,41,0,1,4,0,75,162,1788983405571179808,0,1,0,1,0,0,0,0,0,0
2,20,1,2,4,0,52,153,1788983405571179808,0,2,1,1,0,0,0,0,0,0
7,54,0,0,1,0,102,25,1788983405571179808,0,1,0,1232,27,0,0,0,0,0
2,44,1,2,0,0,92,155,1788983405571179808,0,2,1,0,0,0,0,0,0,0
2,21,1,3,4,0,53,158,1788983405571179808,0,3,0,1,0,0,0,0,0,0
2,45,1,3,0,0,93,161,1788983405571179840,0,3,0,0,0,0,0,0,0,0
9,33,0,1,0,0,67,10,1788983405571179840,4,2,0,1,0,0,0,3,4,0
7,30,0,0,1,0,46,30,1788983405571179840,0,1,0,1232,15,0,0,0,0,0
2,1,2,1,0,0,135,168,1788983405571179840,0,1,0,0,0,0,0,0,0,0
2,45,1,3,4,0,93,163,1788983405571179872,0,3,0,1,0,0,0,0,0,0
2,58,0,0,4,0,106,105,1788983405571179872,0,0,1,1,0,0,0,0,0,0
7,62,0,0,1,0,132,29,1788983405571179872,0,1,0,1232,31,0,0,0,0,0
9,9,0,1,0,0,9,12,1788983405571179840,14,2,0,1,0,0,0,3,14,0
9,8,1,2,0,0,24,11,1788983405571179840,14,2,0,1,0,0,0,2,15,0
2,30,0,0,0,0,46,87,1788983405571179872,0,0,1,0,0,0,0,0,0,0
9,9,1,3,0,0,25,13,1788983405571179840,14,2,0,1,0,0,0,3,15,0
2,62,0,0,0,0,132,86,1788983405571179872,0,0,1,0,0,0,0,0,0,0
2,30,0,0,4,0,46,90,1788983405571179872,0,0,1,1,0,0,0,0,0,0
2,1,2,1,4,0,135,169,1788983405571179872,0,1,0,1,0,0,0,0,0,0
2,56,0,0,4,0,104,109,1788983405571179872,0,0,1,1,0,0,0,0,0,0
2,0,3,2,0,0,140,170,1788983405571179872,0,2,1,0,0,0,0,0,0,0
2,58,0,0,0,0,106,106,1788983405571179904,0,0,1,0,0,0,0,0,0,0
2,60,0,0,4,0,130,83,1788983405571179872,0,0,1,1,0,0,0,0,0,0
2,1,3,3,0,0,141,171,1788983405571179904,0,3,0,0,0,0,0,0,0,0
2,43,1,3,0,0,91,175,1788983405571179904,0,3,0,0,0,0,0,0,0,0
2,0,3,2,4,0,140,172,1788983405571179904,0,2,1,1,0,0,0,0,0,0
2,42,1,2,4,0,90,176,1788983405571179936,0,2,1,1,0,0,0,0,0,0
